lead_id,dealer_id,lead_source,department,status,created_at
1,11,Call Center,Sales,closed,2025-12-04 18:39:00
2,50,Web,Sales,closed,2025-02-07 17:12:00
3,25,Web,Sales,closed,2025-09-11 19:00:00
4,56,Web,Sales,closed,2025-02-24 16:29:00
5,36,Web,F&I,working,2025-11-01 17:52:00
6,33,QR Code,Sales,new,2025-08-07 19:55:00
7,32,Call Center,Sales,new,2025-11-17 19:18:00
8,5,Web,Sales,working,2025-08-01 14:03:00
9,23,Web,F&I,working,2025-06-02 16:47:00
10,52,Call Center,Sales,working,2025-11-05 14:31:00
11,2,QR Code,Sales,new,2025-07-21 09:41:00
12,49,Web,Service,working,2025-08-04 08:47:00
13,16,Call Center,Service,new,2025-04-13 10:30:00
14,37,Web,Service,working,2025-04-22 10:38:00
15,48,Call Center,F&I,new,2025-02-28 17:01:00
16,37,Web,Sales,closed,2025-12-13 11:04:00
17,54,Call Center,Sales,working,2025-11-18 18:38:00
18,51,Call Center,Sales,working,2025-10-17 18:23:00
19,28,QR Code,F&I,working,2025-07-05 19:09:00
20,35,Web,Sales,closed,2025-09-05 17:17:00
21,37,QR Code,Sales,new,2025-11-09 15:54:00
22,34,Call Center,Sales,working,2025-04-08 15:35:00
23,45,QR Code,Service,working,2025-09-01 08:05:00
24,36,Web,Service,working,2025-06-19 12:16:00
25,45,Call Center,Sales,working,2025-04-05 12:46:00
26,49,QR Code,Sales,new,2025-09-26 11:18:00
27,41,Call Center,F&I,closed,2025-09-09 12:30:00
28,53,Web,Sales,closed,2025-02-03 18:43:00
29,29,Web,F&I,working,2025-08-15 12:36:00
30,40,Call Center,Service,working,2025-02-20 18:05:00
31,39,Web,Sales,working,2025-08-29 19:18:00
32,30,QR Code,Sales,working,2025-02-06 18:37:00
33,60,Web,Sales,new,2025-04-12 18:09:00
34,53,Call Center,Sales,working,2025-03-14 17:47:00
35,59,Web,Sales,closed,2025-05-28 12:44:00
36,57,QR Code,Sales,working,2025-08-10 08:05:00
37,18,Call Center,Service,new,2025-10-23 15:33:00
38,59,Call Center,F&I,working,2025-05-23 18:52:00
39,55,Web,Sales,working,2025-03-24 12:42:00
40,53,Call Center,Sales,working,2025-10-09 12:20:00
41,30,Call Center,Sales,working,2025-07-31 17:48:00
42,29,Call Center,Sales,closed,2025-09-06 17:51:00
43,54,Web,F&I,working,2025-03-20 16:45:00
44,50,Web,F&I,closed,2025-08-01 12:52:00
45,10,QR Code,Sales,working,2025-08-17 16:48:00
46,15,Call Center,Sales,working,2025-07-30 19:58:00
47,25,QR Code,F&I,working,2025-12-06 08:08:00
48,30,QR Code,Sales,closed,2025-01-08 10:04:00
49,46,QR Code,Sales,new,2025-09-07 11:40:00
50,19,QR Code,Sales,new,2025-04-27 18:45:00
51,29,QR Code,Sales,new,2025-03-27 08:20:00
52,19,Web,Sales,new,2025-07-03 16:26:00
53,51,Call Center,Sales,closed,2025-04-03 14:39:00
54,32,Call Center,Sales,closed,2025-10-26 12:29:00
55,41,QR Code,Sales,working,2025-08-06 11:24:00
56,7,Web,Sales,closed,2025-05-02 12:44:00
57,48,QR Code,Service,working,2025-01-26 11:38:00
58,15,Call Center,Service,closed,2025-11-22 19:49:00
