policy_id,quote_id,lead_id,dealer_id,carrier,monthly_premium,term_months,bound_at
1,1,1,11,In-House Agency,161.74,12,2025-12-08 17:54:00
2,4,7,32,Carrier B (DCO),287.0,6,2025-11-25 19:13:00
3,5,8,5,Carrier B (DCO),289.54,12,2025-08-13 15:00:00
4,6,10,52,In-House Agency,241.02,6,2025-11-14 17:34:00
5,7,11,2,Carrier A (DCO),105.81,12,2025-07-29 14:17:00
6,12,21,37,Carrier A (DCO),171.29,12,2025-11-21 16:00:00
7,13,23,45,In-House Agency,147.31,12,2025-09-12 14:47:00
8,15,26,49,Carrier B (DCO),98.04,12,2025-09-27 19:08:00
9,17,28,53,In-House Agency,299.06,6,2025-02-10 16:24:00
10,24,42,29,Carrier B (DCO),213.43,12,2025-09-08 09:41:00
11,25,43,54,Carrier B (DCO),147.4,6,2025-04-01 09:17:00
12,29,48,30,Carrier B (DCO),229.0,12,2025-01-15 13:40:00
13,30,54,32,Carrier B (DCO),288.76,12,2025-11-02 17:19:00
14,32,59,54,Carrier A (DCO),219.61,12,2025-03-19 19:26:00
15,34,65,36,Carrier B (DCO),234.59,12,2025-06-22 15:07:00
16,38,72,52,In-House Agency,164.61,6,2025-04-07 19:04:00
17,39,73,31,Carrier A (DCO),251.36,6,2025-09-01 08:30:00
18,40,74,55,Carrier B (DCO),225.78,12,2025-08-04 14:38:00
19,43,83,36,Carrier B (DCO),293.13,12,2025-01-21 09:09:00
20,52,102,11,Carrier A (DCO),264.68,12,2025-07-11 12:16:00
21,54,105,53,In-House Agency,186.03,6,2025-03-14 13:49:00
22,55,107,7,Carrier A (DCO),223.41,6,2025-09-30 19:28:00
23,58,112,33,Carrier B (DCO),106.45,12,2025-03-18 11:01:00
24,63,123,33,In-House Agency,166.36,12,2025-07-29 14:21:00
25,64,124,12,Carrier A (DCO),187.58,6,2025-09-16 13:42:00
26,68,128,24,Carrier A (DCO),301.51,12,2025-08-26 16:07:00
27,73,145,23,Carrier A (DCO),152.51,12,2025-07-31 17:26:00
28,75,148,4,Carrier A (DCO),187.65,12,2025-02-01 08:25:00
29,78,154,31,In-House Agency,230.29,6,2025-01-24 19:03:00
30,80,158,34,Carrier B (DCO),291.11,12,2025-04-28 17:30:00
31,81,159,13,In-House Agency,246.57,12,2025-05-12 09:36:00
32,86,173,22,Carrier A (DCO),238.57,12,2025-06-15 19:07:00
33,90,185,15,Carrier B (DCO),272.02,6,2025-01-10 19:48:00
34,93,191,42,Carrier B (DCO),134.53,12,2025-12-15 19:09:00
35,101,203,59,In-House Agency,250.27,12,2025-09-15 10:06:00
36,103,206,6,Carrier A (DCO),231.9,12,2025-12-10 17:54:00
37,105,211,47,Carrier B (DCO),225.11,6,2025-02-15 18:17:00
38,112,220,21,Carrier B (DCO),270.55,6,2025-06-11 17:34:00
39,116,229,10,Carrier B (DCO),250.23,6,2025-06-28 08:54:00
40,117,230,22,Carrier A (DCO),166.16,6,2025-12-08 10:40:00
41,119,234,40,In-House Agency,267.13,12,2025-07-27 09:15:00
42,122,237,13,Carrier B (DCO),200.07,12,2025-07-24 08:17:00
43,127,248,41,Carrier A (DCO),201.36,6,2025-12-18 17:54:00
44,129,253,28,Carrier A (DCO),206.68,6,2025-12-11 14:44:00
45,131,257,59,In-House Agency,251.95,6,2025-08-01 12:41:00
46,137,264,20,Carrier A (DCO),192.47,6,2025-08-25 09:00:00
47,145,279,38,Carrier B (DCO),302.4,6,2025-03-05 09:10:00
48,146,280,52,Carrier A (DCO),114.61,12,2025-12-20 12:52:00
49,147,281,12,Carrier A (DCO),267.84,6,2025-01-22 11:52:00
50,150,288,23,Carrier A (DCO),100.6,6,2025-09-09 15:33:00
51,152,292,37,In-House Agency,142.04,6,2025-04-17 10:21:00
52,155,302,27,In-House Agency,234.96,6,2025-03-31 12:01:00
53,156,304,36,Carrier A (DCO),225.57,6,2025-02-27 11:26:00
54,158,307,39,Carrier B (DCO),276.41,12,2025-09-10 09:41:00
55,159,308,35,Carrier B (DCO),194.99,6,2025-07-20 19:42:00
56,162,315,56,In-House Agency,221.41,12,2025-01-09 16:56:00
57,165,320,39,Carrier B (DCO),271.52,12,2025-12-05 10:49:00
58,166,321,55,Carrier B (DCO),105.87,12,2025-10-01 16:25:00
59,168,330,31,In-House Agency,299.72,6,2025-02-15 08:51:00
60,169,331,55,Carrier B (DCO),150.78,6,2025-11-07 13:46:00
61,170,332,46,In-House Agency,283.45,12,2025-04-27 19:51:00
62,171,333,36,Carrier B (DCO),185.4,12,2025-04-13 09:30:00
63,173,338,11,Carrier B (DCO),187.24,6,2025-11-03 19:23:00
64,175,342,32,Carrier A (DCO),252.83,6,2025-07-09 14:56:00
65,176,343,41,Carrier A (DCO),243.3,12,2025-05-19 15:44:00
66,178,347,13,In-House Agency,295.62,6,2025-07-14 09:53:00
67,180,350,28,Carrier A (DCO),165.66,12,2025-03-07 13:11:00
68,182,356,50,In-House Agency,115.48,12,2025-11-02 10:53:00
69,183,358,55,Carrier A (DCO),203.99,6,2025-09-16 15:28:00
70,187,365,26,Carrier A (DCO),294.22,12,2025-05-01 18:37:00
71,192,377,60,Carrier B (DCO),138.66,12,2025-07-30 17:34:00
72,194,383,34,Carrier A (DCO),237.62,12,2025-02-14 16:52:00
73,195,386,8,In-House Agency,267.61,6,2025-07-29 13:32:00
74,197,389,53,Carrier A (DCO),106.67,12,2025-02-09 14:24:00
75,200,399,36,In-House Agency,219.83,6,2025-09-05 09:18:00
76,203,407,38,In-House Agency,146.36,6,2025-06-06 15:10:00
77,204,408,12,Carrier A (DCO),142.05,6,2025-10-24 08:42:00
78,206,413,9,Carrier A (DCO),172.88,12,2025-08-18 13:46:00
79,207,415,27,Carrier A (DCO),286.52,12,2025-01-18 17:36:00
80,208,416,41,Carrier B (DCO),131.67,6,2025-01-22 17:42:00
81,211,422,48,Carrier B (DCO),223.63,6,2025-10-22 17:33:00
82,212,423,8,Carrier A (DCO),128.28,12,2025-10-04 17:23:00
83,216,432,6,In-House Agency,246.28,12,2025-05-30 13:52:00
84,218,435,25,Carrier A (DCO),198.62,6,2025-10-23 13:26:00
85,221,444,45,Carrier A (DCO),164.97,12,2025-10-05 11:17:00
86,222,445,31,Carrier B (DCO),278.68,6,2025-11-14 09:46:00
87,227,457,36,Carrier A (DCO),235.79,12,2025-02-02 18:08:00
88,230,462,9,Carrier B (DCO),96.96,6,2025-07-02 16:23:00
89,235,472,60,Carrier B (DCO),198.46,6,2025-06-15 09:15:00
90,237,474,45,In-House Agency,167.76,6,2025-11-17 19:34:00
91,244,495,36,Carrier B (DCO),286.27,6,2025-10-26 17:25:00
92,247,501,33,In-House Agency,255.24,12,2025-02-25 19:08:00
93,251,509,2,Carrier A (DCO),264.68,6,2025-07-24 09:24:00
94,253,511,7,In-House Agency,294.17,12,2025-06-22 13:31:00
95,257,518,47,In-House Agency,153.87,12,2025-01-21 17:36:00
96,268,538,53,Carrier B (DCO),165.78,6,2025-02-12 09:36:00
97,269,542,32,In-House Agency,266.3,12,2025-04-15 14:02:00
98,273,551,24,Carrier A (DCO),291.37,6,2025-08-27 11:21:00
99,274,553,7,In-House Agency,119.9,6,2025-10-06 13:29:00
100,275,554,57,In-House Agency,286.81,12,2025-01-30 15:42:00
101,278,560,49,In-House Agency,247.7,6,2025-09-04 17:16:00
102,279,562,21,Carrier B (DCO),260.11,12,2025-08-23 19:50:00
103,281,567,53,Carrier B (DCO),165.39,6,2025-08-23 17:57:00
104,283,573,26,Carrier A (DCO),197.1,12,2025-11-27 10:18:00
105,284,574,56,In-House Agency,188.9,12,2025-12-19 19:38:00
106,288,579,35,In-House Agency,289.8,12,2025-11-01 12:10:00
107,290,582,17,In-House Agency,253.88,12,2025-03-12 19:15:00
108,297,599,2,In-House Agency,165.91,12,2025-09-20 14:25:00
