quote_id,lead_id,dealer_id,carrier,monthly_premium,quoted_at
1,1,11,In-House Agency,161.74,2025-12-05 11:09:00
2,4,56,Carrier A,193.14,2025-02-25 15:42:00
3,6,33,Carrier A,275.57,2025-08-09 12:49:00
4,7,32,Carrier B,287.0,2025-11-19 09:08:00
5,8,5,Carrier B,289.54,2025-08-04 17:44:00
6,10,52,In-House Agency,241.02,2025-11-07 14:46:00
7,11,2,Carrier A,105.81,2025-07-24 14:20:00
8,12,49,Carrier A,234.78,2025-08-06 18:02:00
9,18,51,Carrier B,97.72,2025-10-22 14:52:00
10,19,28,In-House Agency,302.58,2025-07-10 12:39:00
11,20,35,Carrier A,154.97,2025-09-06 15:15:00
12,21,37,Carrier A,171.29,2025-11-12 12:21:00
13,23,45,In-House Agency,147.31,2025-09-04 18:37:00
14,24,36,Carrier A,162.84,2025-06-24 19:34:00
15,26,49,Carrier B,98.04,2025-09-27 16:08:00
16,27,41,Carrier A,302.58,2025-09-11 12:55:00
17,28,53,In-House Agency,299.06,2025-02-04 09:15:00
18,30,40,In-House Agency,111.14,2025-02-21 08:26:00
19,35,59,In-House Agency,211.1,2025-05-30 15:05:00
20,36,57,In-House Agency,221.23,2025-08-15 08:48:00
21,38,59,Carrier B,169.81,2025-05-23 13:20:00
22,40,53,In-House Agency,272.36,2025-10-12 08:42:00
23,41,30,Carrier A,138.77,2025-08-03 16:08:00
24,42,29,Carrier B,213.43,2025-09-07 16:26:00
25,43,54,Carrier B,147.4,2025-03-23 16:09:00
26,44,50,Carrier B,275.06,2025-08-06 17:42:00
27,45,10,Carrier B,281.96,2025-08-20 19:15:00
28,47,25,Carrier B,281.99,2025-12-10 15:06:00
29,48,30,Carrier B,229.0,2025-01-10 14:41:00
30,54,32,Carrier B,288.76,2025-10-26 18:34:00
31,56,7,Carrier B,154.01,2025-05-07 17:55:00
32,59,54,Carrier A,219.61,2025-03-15 19:08:00
33,63,44,Carrier B,239.66,2025-07-26 18:16:00
34,65,36,Carrier B,234.59,2025-06-22 09:08:00
35,67,45,Carrier B,227.37,2025-10-04 12:02:00
36,68,14,Carrier B,108.02,2025-08-21 12:12:00
37,71,36,Carrier A,154.61,2025-04-21 10:08:00
38,72,52,In-House Agency,164.61,2025-04-01 10:16:00
39,73,31,Carrier A,251.36,2025-08-22 18:33:00
40,74,55,Carrier B,225.78,2025-07-25 09:08:00
41,76,55,Carrier A,183.97,2025-12-05 15:25:00
42,82,15,Carrier B,276.71,2025-02-26 17:39:00
43,83,36,Carrier B,293.13,2025-01-19 13:00:00
44,84,48,Carrier A,174.56,2025-11-23 19:20:00
45,86,44,Carrier A,257.31,2025-02-13 09:22:00
46,87,19,In-House Agency,106.78,2025-12-17 11:19:00
47,90,52,Carrier B,218.79,2025-07-01 17:25:00
48,93,34,Carrier A,204.75,2025-02-11 09:33:00
49,94,58,Carrier A,132.3,2025-06-30 10:48:00
50,98,38,Carrier B,111.5,2025-01-31 09:39:00
51,101,29,In-House Agency,189.12,2025-02-23 15:33:00
52,102,11,Carrier A,264.68,2025-07-10 18:21:00
53,104,59,Carrier A,161.56,2025-07-04 14:41:00
54,105,53,In-House Agency,186.03,2025-03-12 13:01:00
55,107,7,Carrier A,223.41,2025-09-21 10:10:00
56,108,3,Carrier B,145.31,2025-08-04 11:19:00
57,111,56,Carrier A,156.29,2025-05-13 10:17:00
58,112,33,Carrier B,106.45,2025-03-17 16:23:00
59,113,21,In-House Agency,273.69,2025-02-23 19:30:00
60,115,28,Carrier B,108.5,2025-03-02 15:38:00
61,116,41,Carrier A,217.69,2025-09-23 10:42:00
62,120,7,Carrier A,273.53,2025-10-30 18:29:00
63,123,33,In-House Agency,166.36,2025-07-23 09:51:00
64,124,12,Carrier A,187.58,2025-09-15 10:34:00
65,125,19,Carrier A,251.27,2025-06-09 13:39:00
66,126,18,In-House Agency,129.4,2025-11-29 08:09:00
67,127,44,Carrier A,225.1,2025-08-17 18:28:00
68,128,24,Carrier A,301.51,2025-08-18 08:47:00
69,133,41,Carrier A,172.59,2025-04-03 17:23:00
70,135,47,In-House Agency,110.95,2025-09-05 15:43:00
71,139,36,In-House Agency,297.45,2025-05-22 10:10:00
72,143,20,Carrier A,128.99,2025-09-10 14:30:00
73,145,23,Carrier A,152.51,2025-07-27 11:09:00
74,147,32,In-House Agency,193.3,2025-09-24 11:13:00
75,148,4,Carrier A,187.65,2025-01-26 12:46:00
76,149,4,In-House Agency,155.14,2025-10-22 17:43:00
77,151,13,Carrier B,206.66,2025-11-07 10:38:00
78,154,31,In-House Agency,230.29,2025-01-14 17:30:00
79,156,10,Carrier B,127.56,2025-12-17 19:13:00
80,158,34,Carrier B,291.11,2025-04-18 13:34:00
81,159,13,In-House Agency,246.57,2025-05-08 13:30:00
82,161,19,In-House Agency,198.0,2025-01-24 11:52:00
83,163,16,Carrier B,249.23,2025-01-29 09:43:00
84,164,1,Carrier B,156.36,2025-10-11 08:58:00
85,170,42,Carrier A,132.73,2025-05-17 18:57:00
86,173,22,Carrier A,238.57,2025-06-05 15:19:00
87,174,41,In-House Agency,175.33,2025-06-06 19:35:00
88,177,8,In-House Agency,190.0,2025-02-03 18:13:00
89,178,32,In-House Agency,107.41,2025-02-19 15:43:00
90,185,15,Carrier B,272.02,2025-01-06 11:29:00
91,186,8,Carrier A,190.98,2025-01-21 18:45:00
92,188,4,In-House Agency,270.95,2025-03-17 11:19:00
93,191,42,Carrier B,134.53,2025-12-12 16:30:00
94,192,52,Carrier B,138.72,2025-08-27 18:05:00
95,193,55,In-House Agency,103.5,2025-07-13 09:12:00
96,195,1,In-House Agency,224.95,2025-04-20 11:25:00
97,196,36,In-House Agency,284.8,2025-06-16 15:06:00
